"DATE","RG65Q4","RG66Q1","RG66Q2","RG66Q3","RG66Q4","RG67Q1","RG67Q2","RG67Q3","RG67Q4","RG68Q1","RG68Q2","RG68Q3","RG68Q4","RG69Q1","RG69Q2","RG69Q3","RG69Q4","RG70Q1","RG70Q2","RG70Q3","RG70Q4","RG71Q1","RG71Q2","RG71Q3","RG71Q4","RG72Q1","RG72Q2","RG72Q3","RG72Q4","RG73Q1","RG73Q2","RG73Q3","RG73Q4","RG74Q1","RG74Q2","RG74Q3","RG74Q4","RG75Q1","RG75Q2","RG75Q3","RG75Q4","RG76Q1","RG76Q2","RG76Q3","RG76Q4","RG77Q1","RG77Q2","RG77Q3","RG77Q4","RG78Q1","RG78Q2","RG78Q3","RG78Q4","RG79Q1","RG79Q2","RG79Q3","RG79Q4","RG80Q1","RG80Q2","RG80Q3","RG80Q4","RG81Q1","RG81Q2","RG81Q3","RG81Q4","RG82Q1","RG82Q2","RG82Q3","RG82Q4","RG83Q1","RG83Q2","RG83Q3","RG83Q4","RG84Q1","RG84Q2","RG84Q3","RG84Q4","RG85Q1","RG85Q2","RG85Q3","RG85Q4","RG86Q1","RG86Q2","RG86Q3","RG86Q4","RG87Q1","RG87Q2","RG87Q3","RG87Q4","RG88Q1","RG88Q2","RG88Q3","RG88Q4","RG89Q1","RG89Q2","RG89Q3","RG89Q4","RG90Q1","RG90Q2","RG90Q3","RG90Q4","RG91Q1","RG91Q2","RG91Q3","RG91Q4","RG92Q1","RG92Q2","RG92Q3","RG92Q4","RG93Q1","RG93Q2","RG93Q3","RG93Q4","RG94Q1","RG94Q2","RG94Q3","RG94Q4","RG95Q1","RG95Q2","RG95Q3","RG95Q4","RG96Q1","RG96Q2","RG96Q3","RG96Q4","RG97Q1","RG97Q2","RG97Q3","RG97Q4","RG98Q1","RG98Q2","RG98Q3","RG98Q4","RG99Q1","RG99Q2","RG99Q3","RG99Q4","RG00Q1","RG00Q2","RG00Q3","RG00Q4","RG01Q1","RG01Q2","RG01Q3","RG01Q4","RG02Q1","RG02Q2","RG02Q3","RG02Q4","RG03Q1","RG03Q2","RG03Q3","RG03Q4","RG04Q1","RG04Q2","RG04Q3","RG04Q4","RG05Q1","RG05Q2","RG05Q3","RG05Q4","RG06Q1","RG06Q2","RG06Q3","RG06Q4","RG07Q1","RG07Q2","RG07Q3","RG07Q4","RG08Q1","RG08Q2","RG08Q3","RG08Q4","RG09Q1","RG09Q2","RG09Q3","RG09Q4","RG10Q1","RG10Q2","RG10Q3","RG10Q4","RG11Q1","RG11Q2","RG11Q3","RG11Q4","RG12Q1","RG12Q2","RG12Q3","RG12Q4","RG13Q1","RG13Q2","RG13Q3","RG13Q4","RG14Q1","RG14Q2","RG14Q3","RG14Q4","RG15Q1","RG15Q2","RG15Q3","RG15Q4"
"1947:Q1","38.6","38.6","38.6","38.6","38.6","38.6","38.6","38.6","38.6","38.6","38.6","38.6","38.6","38.6","38.6","38.6","38.6","38.6","38.6","38.6","38.6","38.6","38.6","38.6","38.6","38.6","38.6","38.6","38.6","38.6","38.6","38.6","38.6","38.6","38.6","38.6","38.6","38.6","38.6","38.6","38.6","74.5","74.5","74.5","74.5","74.5","74.5","74.5","74.5","74.5","74.5","74.5","74.5","74.5","74.5","74.5","74.5","74.5","74.5","74.5","74.5","74.7","74.7","74.7","74.7","74.7","74.7","74.7","74.7","74.7","74.7","74.7","74.7","74.7","74.7","74.7","74.7","74.7","74.7","74.7","74.7","178.9","178.9","178.9","178.9","178.9","178.9","178.9","178.9","178.9","178.9","178.9","178.9","178.9","178.9","178.9","178.9","178.9","178.9","178.9","178.9","178.9","178.9","178.9","178.9","#N/A","#N/A","#N/A","#N/A","217.5","217.5","217.5","217.5","217.5","217.5","217.5","217.5","217.5","217.5","217.5","217.5","#N/A","#N/A","#N/A","#N/A","#N/A","288.0","288.0","288.0","288.0","288.0","288.0","288.0","288.0","288.0","288.0","#N/A","#N/A","306.0","306.0","306.0","306.0","306.0","306.0","306.0","306.0","306.0","306.0","306.0","306.0","306.0","306.0","306.0","335.4","335.4","335.4","335.4","335.4","335.4","335.4","335.4","335.4","335.4","335.4","335.4","335.4","335.4","335.4","335.4","335.4","335.4","335.4","335.4","335.4","335.4","407.3","407.3","407.3","407.3","407.3","407.3","407.3","407.3","407.3","407.3","407.3","407.3","407.3","407.3","407.3","407.3","478.7","478.7","478.7","478.7","478.7","478.7","478.7","478.7","478.7","478.7"
"1947:Q2","39.8","39.8","39.8","39.8","39.8","39.8","39.8","39.8","39.8","39.8","39.8","39.8","39.8","39.8","39.8","39.8","39.8","39.8","39.8","39.8","39.8","39.8","39.8","39.8","39.8","39.8","39.8","39.8","39.8","39.8","39.8","39.8","39.8","39.8","39.8","39.8","39.8","39.8","39.8","39.8","39.8","75.9","75.9","75.9","75.9","75.9","75.9","75.9","75.9","75.9","75.9","75.9","75.9","75.9","75.9","75.9","75.9","75.9","75.9","75.9","75.9","76.0","76.0","76.0","76.0","76.0","76.0","76.0","76.0","76.0","76.0","76.0","76.0","76.0","76.0","76.0","76.0","76.0","76.0","76.0","76.0","180.4","180.4","180.4","180.4","180.4","180.4","180.4","180.4","180.4","180.4","180.4","180.4","180.4","180.4","180.4","180.4","180.4","180.4","180.4","180.4","180.4","180.4","180.4","180.4","#N/A","#N/A","#N/A","#N/A","217.2","217.2","217.2","217.2","217.2","217.2","217.2","217.2","217.2","217.2","217.2","217.2","#N/A","#N/A","#N/A","#N/A","#N/A","291.0","291.0","291.0","291.0","291.0","291.0","291.0","291.0","291.0","291.0","#N/A","#N/A","307.7","307.7","307.7","307.7","307.7","307.7","307.7","307.7","307.7","307.7","307.7","307.7","307.7","307.7","307.7","337.4","337.4","337.4","337.4","337.4","337.4","337.4","337.4","337.4","337.4","337.4","337.4","337.4","337.4","337.4","337.4","337.4","337.4","337.4","337.4","337.4","337.4","409.8","409.8","409.8","409.8","409.8","409.8","409.8","409.8","409.8","409.8","409.8","409.8","409.8","409.8","409.8","409.8","482.8","482.8","482.8","482.8","482.8","482.8","482.8","482.8","482.8","482.8"
"1947:Q3","40.7","40.7","40.7","40.7","40.7","40.7","40.7","40.7","40.7","40.7","40.7","40.7","40.7","40.7","40.7","40.7","40.7","40.7","40.7","40.7","40.7","40.7","40.7","40.7","40.7","40.7","40.7","40.7","40.7","40.7","40.7","40.7","40.7","40.7","40.7","40.7","40.7","40.7","40.7","40.7","40.7","76.0","76.0","76.0","76.0","76.0","76.0","76.0","76.0","76.0","76.0","76.0","76.0","76.0","76.0","76.0","76.0","76.0","76.0","76.0","76.0","76.4","76.4","76.4","76.4","76.4","76.4","76.4","76.4","76.4","76.4","76.4","76.4","76.4","76.4","76.4","76.4","76.4","76.4","76.4","76.4","181.3","181.3","181.3","181.3","181.3","181.3","181.3","181.3","181.3","181.3","181.3","181.3","181.3","181.3","181.3","181.3","181.3","181.3","181.3","181.3","181.3","181.3","181.3","181.3","#N/A","#N/A","#N/A","#N/A","221.3","221.3","221.3","221.3","221.3","221.3","221.3","221.3","221.3","221.3","221.3","221.3","#N/A","#N/A","#N/A","#N/A","#N/A","293.5","293.5","293.5","293.5","293.5","293.5","293.5","293.5","293.5","293.5","#N/A","#N/A","309.7","309.7","309.7","309.7","309.7","309.7","309.7","309.7","309.7","309.7","309.7","309.7","309.7","309.7","309.7","340.5","340.5","340.5","340.5","340.5","340.5","340.5","340.5","340.5","340.5","340.5","340.5","340.5","340.5","340.5","340.5","340.5","340.5","340.5","340.5","340.5","340.5","413.6","413.6","413.6","413.6","413.6","413.6","413.6","413.6","413.6","413.6","413.6","413.6","413.6","413.6","413.6","413.6","485.9","485.9","485.9","485.9","485.9","485.9","485.9","485.9","485.9","485.9"
"1947:Q4","40.3","40.3","40.3","40.3","40.3","40.3","40.3","40.3","40.3","40.3","40.3","40.3","40.3","40.3","40.3","40.3","40.3","40.3","40.3","40.3","40.3","40.3","40.3","40.3","40.3","40.3","40.3","40.3","40.3","40.3","40.3","40.3","40.3","40.3","40.3","40.3","40.3","40.3","40.3","40.3","40.3","75.2","75.2","75.2","75.2","75.2","75.2","75.2","75.2","75.2","75.2","75.2","75.2","75.2","75.2","75.2","75.2","75.2","75.2","75.2","75.2","75.6","75.6","75.6","75.6","75.6","75.6","75.6","75.6","75.6","75.6","75.6","75.6","75.6","75.6","75.6","75.6","75.6","75.6","75.6","75.6","178.7","178.7","178.7","178.7","178.7","178.7","178.7","178.7","178.7","178.7","178.7","178.7","178.7","178.7","178.7","178.7","178.7","178.7","178.7","178.7","178.7","178.7","178.7","178.7","#N/A","#N/A","#N/A","#N/A","219.4","219.4","219.4","219.4","219.4","219.4","219.4","219.4","219.4","219.4","219.4","219.4","#N/A","#N/A","#N/A","#N/A","#N/A","288.8","288.8","288.8","288.8","288.8","288.8","288.8","288.8","288.8","288.8","#N/A","#N/A","305.1","305.1","305.1","305.1","305.1","305.1","305.1","305.1","305.1","305.1","305.1","305.1","305.1","305.1","305.1","335.4","335.4","335.4","335.4","335.4","335.4","335.4","335.4","335.4","335.4","335.4","335.4","335.4","335.4","335.4","335.4","335.4","335.4","335.4","335.4","335.4","335.4","407.5","407.5","407.5","407.5","407.5","407.5","407.5","407.5","407.5","407.5","407.5","407.5","407.5","407.5","407.5","407.5","482.5","482.5","482.5","482.5","482.5","482.5","482.5","482.5","482.5","482.5"
"1948:Q1","41.1","41.1","41.1","41.1","41.1","41.1","41.1","41.1","41.1","41.1","41.1","41.1","41.1","41.1","41.1","41.1","41.1","41.1","41.1","41.1","41.1","41.1","41.1","41.1","41.1","41.1","41.1","41.1","41.1","41.1","41.1","41.1","41.1","41.1","41.1","41.1","41.1","41.1","41.1","41.1","41.1","76.0","76.0","76.0","76.0","76.0","76.0","76.0","76.0","76.0","76.0","76.0","76.0","76.0","76.0","76.0","76.0","76.0","76.0","76.0","76.0","76.5","76.5","76.5","76.5","76.5","76.5","76.5","76.5","76.5","76.5","76.5","76.5","76.5","76.5","76.5","76.5","76.5","76.5","76.5","76.5","181.6","181.6","181.6","181.6","181.6","181.6","181.6","181.6","181.6","181.6","181.6","181.6","181.6","181.6","181.6","181.6","181.6","181.6","181.6","181.6","181.6","181.6","181.6","181.6","#N/A","#N/A","#N/A","#N/A","229.7","229.7","229.7","229.7","229.7","229.7","229.7","229.7","229.7","229.7","229.7","229.7","#N/A","#N/A","#N/A","#N/A","#N/A","294.4","294.4","294.4","294.4","294.4","294.4","294.4","294.4","294.4","294.4","#N/A","#N/A","311.2","311.2","311.2","311.2","311.2","311.2","311.2","311.2","311.2","311.2","311.2","311.2","311.2","311.2","311.2","342.0","342.0","342.0","342.0","342.0","342.0","342.0","342.0","342.0","342.0","342.0","342.0","342.0","342.0","342.0","342.0","342.0","342.0","342.0","342.0","342.0","342.0","415.5","415.5","415.5","415.5","415.5","415.5","415.5","415.5","415.5","415.5","415.5","415.5","415.5","415.5","415.5","415.5","488.6","488.6","488.6","488.6","488.6","488.6","488.6","488.6","488.6","488.6"
"1948:Q2","45.5","45.5","45.5","45.5","45.5","45.5","45.5","45.5","45.5","45.5","45.5","45.5","45.5","45.5","45.5","45.5","45.5","45.5","45.5","45.5","45.5","45.5","45.5","45.5","45.5","45.5","45.5","45.5","45.5","45.5","45.5","45.5","45.5","45.5","45.5","45.5","45.5","45.5","45.5","45.5","45.5","82.5","82.5","82.5","82.5","82.5","82.5","82.5","82.5","82.5","82.5","82.5","82.5","82.5","82.5","82.5","82.5","82.5","82.5","82.5","82.5","83.1","83.1","83.1","83.1","83.1","83.1","83.1","83.1","83.1","83.1","83.1","83.1","83.1","83.1","83.1","83.1","83.1","83.1","83.1","83.1","196.3","196.3","196.3","196.3","196.3","196.3","196.3","196.3","196.3","196.3","196.3","196.3","196.3","196.3","196.3","196.3","196.3","196.3","196.3","196.3","196.3","196.3","196.3","196.3","#N/A","#N/A","#N/A","#N/A","235.7","235.7","235.7","235.7","235.7","235.7","235.7","235.7","235.7","235.7","235.7","235.7","#N/A","#N/A","#N/A","#N/A","#N/A","307.7","307.7","307.7","307.7","307.7","307.7","307.7","307.7","307.7","307.7","#N/A","#N/A","325.9","325.9","325.9","325.9","325.9","325.9","325.9","325.9","325.9","325.9","325.9","325.9","325.9","325.9","325.9","358.4","358.4","358.4","358.4","358.4","358.4","358.4","358.4","358.4","358.4","358.4","358.4","358.4","358.4","358.4","358.4","358.4","358.4","358.4","358.4","358.4","358.4","435.5","435.5","435.5","435.5","435.5","435.5","435.5","435.5","435.5","435.5","435.5","435.5","435.5","435.5","435.5","435.5","505.0","505.0","505.0","505.0","505.0","505.0","505.0","505.0","505.0","505.0"
"1948:Q3","47.8","47.8","47.8","47.8","47.8","47.8","47.8","47.8","47.8","47.8","47.8","47.8","47.8","47.8","47.8","47.8","47.8","47.8","47.8","47.8","47.8","47.8","47.8","47.8","47.8","47.8","47.8","47.8","47.8","47.8","47.8","47.8","47.8","47.8","47.8","47.8","47.8","47.8","47.8","47.8","47.8","86.5","86.5","86.5","86.5","86.5","86.5","86.5","86.5","86.5","86.5","86.5","86.5","86.5","86.5","86.5","86.5","86.5","86.5","86.5","86.5","87.0","87.0","87.0","87.0","87.0","87.0","87.0","87.0","87.0","87.0","87.0","87.0","87.0","87.0","87.0","87.0","87.0","87.0","87.0","87.0","205.1","205.1","205.1","205.1","205.1","205.1","205.1","205.1","205.1","205.1","205.1","205.1","205.1","205.1","205.1","205.1","205.1","205.1","205.1","205.1","205.1","205.1","205.1","205.1","#N/A","#N/A","#N/A","#N/A","242.3","242.3","242.3","242.3","242.3","242.3","242.3","242.3","242.3","242.3","242.3","242.3","#N/A","#N/A","#N/A","#N/A","#N/A","313.0","313.0","313.0","313.0","313.0","313.0","313.0","313.0","313.0","313.0","#N/A","#N/A","332.0","332.0","332.0","332.0","332.0","332.0","332.0","332.0","332.0","332.0","332.0","332.0","332.0","332.0","332.0","365.5","365.5","365.5","365.5","365.5","365.5","365.5","365.5","365.5","365.5","365.5","365.5","365.5","365.5","365.5","365.5","365.5","365.5","365.5","365.5","365.5","365.5","444.0","444.0","444.0","444.0","444.0","444.0","444.0","444.0","444.0","444.0","444.0","444.0","444.0","444.0","444.0","444.0","515.0","515.0","515.0","515.0","515.0","515.0","515.0","515.0","515.0","515.0"
"1948:Q4","50.7","50.7","50.7","50.7","50.7","50.7","50.7","50.7","50.7","50.7","50.7","50.7","50.7","50.7","50.7","50.7","50.7","50.7","50.7","50.7","50.7","50.7","50.7","50.7","50.7","50.7","50.7","50.7","50.7","50.7","50.7","50.7","50.7","50.7","50.7","50.7","50.7","50.7","50.7","50.7","50.7","90.9","90.9","90.9","90.9","90.9","90.9","90.9","90.9","90.9","90.9","90.9","90.9","90.9","90.9","90.9","90.9","90.9","90.9","90.9","90.9","91.6","91.6","91.6","91.6","91.6","91.6","91.6","91.6","91.6","91.6","91.6","91.6","91.6","91.6","91.6","91.6","91.6","91.6","91.6","91.6","215.2","215.2","215.2","215.2","215.2","215.2","215.2","215.2","215.2","215.2","215.2","215.2","215.2","215.2","215.2","215.2","215.2","215.2","215.2","215.2","215.2","215.2","215.2","215.2","#N/A","#N/A","#N/A","#N/A","254.5","254.5","254.5","254.5","254.5","254.5","254.5","254.5","254.5","254.5","254.5","254.5","#N/A","#N/A","#N/A","#N/A","#N/A","326.1","326.1","326.1","326.1","326.1","326.1","326.1","326.1","326.1","326.1","#N/A","#N/A","346.5","346.5","346.5","346.5","346.5","346.5","346.5","346.5","346.5","346.5","346.5","346.5","346.5","346.5","346.5","381.0","381.0","381.0","381.0","381.0","381.0","381.0","381.0","381.0","381.0","381.0","381.0","381.0","381.0","381.0","381.0","381.0","381.0","381.0","381.0","381.0","381.0","462.7","462.7","462.7","462.7","462.7","462.7","462.7","462.7","462.7","462.7","462.7","462.7","462.7","462.7","462.7","462.7","533.8","533.8","533.8","533.8","533.8","533.8","533.8","533.8","533.8","533.8"
"1949:Q1","51.3","51.3","51.3","51.3","51.3","51.3","51.3","51.3","51.3","51.3","51.3","51.3","51.3","51.3","51.3","51.3","51.3","51.3","51.3","51.3","51.3","51.3","51.3","51.3","51.3","51.3","51.3","51.3","51.3","51.3","51.3","51.3","51.3","51.3","51.3","51.3","51.3","51.3","51.3","51.3","51.3","92.5","92.5","92.5","92.5","92.5","92.5","92.5","92.5","92.5","92.5","92.5","92.5","92.5","92.5","92.5","92.5","92.5","92.5","92.5","92.5","93.0","93.0","93.0","93.0","93.0","93.0","93.0","93.0","93.0","93.0","93.0","93.0","93.0","93.0","93.0","93.0","93.0","93.0","93.0","93.0","217.6","217.6","217.6","217.6","217.6","217.6","217.6","217.6","217.6","217.6","217.6","217.6","217.6","217.6","217.6","217.6","217.6","217.6","217.6","217.6","217.6","217.6","217.6","217.6","#N/A","#N/A","#N/A","#N/A","259.2","259.2","259.2","259.2","259.2","259.2","259.2","259.2","259.2","259.2","259.2","259.2","#N/A","#N/A","#N/A","#N/A","#N/A","334.7","334.7","334.7","334.7","334.7","334.7","334.7","334.7","334.7","334.7","#N/A","#N/A","355.3","355.3","355.3","355.3","355.3","355.3","355.3","355.3","355.3","355.3","355.3","355.3","355.3","355.3","355.3","391.7","391.7","391.7","391.7","391.7","391.7","391.7","391.7","391.7","391.7","391.7","391.7","391.7","391.7","391.7","391.7","391.7","391.7","391.7","391.7","391.7","391.7","475.9","475.9","475.9","475.9","475.9","475.9","475.9","475.9","475.9","475.9","475.9","475.9","475.9","475.9","475.9","475.9","548.6","548.6","548.6","548.6","548.6","548.6","548.6","548.6","548.6","548.6"
"1949:Q2","53.8","53.8","53.8","53.8","53.8","53.8","53.8","53.8","53.8","53.8","53.8","53.8","53.8","53.8","53.8","53.8","53.8","53.8","53.8","53.8","53.8","53.8","53.8","53.8","53.8","53.8","53.8","53.8","53.8","53.8","53.8","53.8","53.8","53.8","53.8","53.8","53.8","53.8","53.8","53.8","53.8","96.4","96.4","96.4","96.4","96.4","96.4","96.4","96.4","96.4","96.4","96.4","96.4","96.4","96.4","96.4","96.4","96.4","96.4","96.4","96.4","96.8","96.8","96.8","96.8","96.8","96.8","96.8","96.8","96.8","96.8","96.8","96.8","96.8","96.8","96.8","96.8","96.8","96.8","96.8","96.8","226.6","226.6","226.6","226.6","226.6","226.6","226.6","226.6","226.6","226.6","226.6","226.6","226.6","226.6","226.6","226.6","226.6","226.6","226.6","226.6","226.6","226.6","226.6","226.6","#N/A","#N/A","#N/A","#N/A","270.2","270.2","270.2","270.2","270.2","270.2","270.2","270.2","270.2","270.2","270.2","270.2","#N/A","#N/A","#N/A","#N/A","#N/A","349.8","349.8","349.8","349.8","349.8","349.8","349.8","349.8","349.8","349.8","#N/A","#N/A","371.5","371.5","371.5","371.5","371.5","371.5","371.5","371.5","371.5","371.5","371.5","371.5","371.5","371.5","371.5","409.5","409.5","409.5","409.5","409.5","409.5","409.5","409.5","409.5","409.5","409.5","409.5","409.5","409.5","409.5","409.5","409.5","409.5","409.5","409.5","409.5","409.5","497.4","497.4","497.4","497.4","497.4","497.4","497.4","497.4","497.4","497.4","497.4","497.4","497.4","497.4","497.4","497.4","572.5","572.5","572.5","572.5","572.5","572.5","572.5","572.5","572.5","572.5"
